field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A	DBF_NOACCESS	ASL0			"Input value A"	SPC_DBADDR		2			"void *a"	
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B	DBF_NOACCESS	ASL0			"Input value B"	SPC_DBADDR		2			"void *b"	
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BRSV	DBF_MENU			GUI_SUB	"Bad Return Severity"		TRUE	1				menuAlarmSevr
C	DBF_NOACCESS	ASL0			"Input value C"	SPC_DBADDR		2			"void *c"	
D	DBF_NOACCESS	ASL0			"Input value D"	SPC_DBADDR		2			"void *d"	
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
E	DBF_NOACCESS	ASL0			"Input value E"	SPC_DBADDR		2			"void *e"	
EFLG	DBF_MENU		"1"	GUI_OUTPUT	"Output Event Flag"			1				aSubEFLG
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
F	DBF_NOACCESS	ASL0			"Input value F"	SPC_DBADDR		2			"void *f"	
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
FTA	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of A"	SPC_NOMOD		1				menuFtype
FTB	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of B"	SPC_NOMOD		1				menuFtype
FTC	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of C"	SPC_NOMOD		1				menuFtype
FTD	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of D"	SPC_NOMOD		1				menuFtype
FTE	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of E"	SPC_NOMOD		1				menuFtype
FTF	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of F"	SPC_NOMOD		1				menuFtype
FTG	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of G"	SPC_NOMOD		1				menuFtype
FTH	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of H"	SPC_NOMOD		1				menuFtype
FTI	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of I"	SPC_NOMOD		1				menuFtype
FTJ	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of J"	SPC_NOMOD		1				menuFtype
FTK	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of K"	SPC_NOMOD		1				menuFtype
FTL	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of L"	SPC_NOMOD		1				menuFtype
FTM	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of M"	SPC_NOMOD		1				menuFtype
FTN	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of N"	SPC_NOMOD		1				menuFtype
FTO	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of O"	SPC_NOMOD		1				menuFtype
FTP	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of P"	SPC_NOMOD		1				menuFtype
FTQ	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of Q"	SPC_NOMOD		1				menuFtype
FTR	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of R"	SPC_NOMOD		1				menuFtype
FTS	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of S"	SPC_NOMOD		1				menuFtype
FTT	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of T"	SPC_NOMOD		1				menuFtype
FTU	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of U"	SPC_NOMOD		1				menuFtype
FTVA	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALA"	SPC_NOMOD		1				menuFtype
FTVB	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALB"	SPC_NOMOD		1				menuFtype
FTVC	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALC"	SPC_NOMOD		1				menuFtype
FTVD	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALD"	SPC_NOMOD		1				menuFtype
FTVE	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALE"	SPC_NOMOD		1				menuFtype
FTVF	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALF"	SPC_NOMOD		1				menuFtype
FTVG	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALG"	SPC_NOMOD		1				menuFtype
FTVH	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALH"	SPC_NOMOD		1				menuFtype
FTVI	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALI"	SPC_NOMOD		1				menuFtype
FTVJ	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALJ"	SPC_NOMOD		1				menuFtype
FTVK	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALK"	SPC_NOMOD		1				menuFtype
FTVL	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALL"	SPC_NOMOD		1				menuFtype
FTVM	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALM"	SPC_NOMOD		1				menuFtype
FTVN	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALN"	SPC_NOMOD		1				menuFtype
FTVO	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALO"	SPC_NOMOD		1				menuFtype
FTVP	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALP"	SPC_NOMOD		1				menuFtype
FTVQ	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALQ"	SPC_NOMOD		1				menuFtype
FTVR	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALR"	SPC_NOMOD		1				menuFtype
FTVS	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALS"	SPC_NOMOD		1				menuFtype
FTVT	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALT"	SPC_NOMOD		1				menuFtype
FTVU	DBF_MENU		"DOUBLE"	GUI_WAVE	"Type of VALU"	SPC_NOMOD		1				menuFtype
G	DBF_NOACCESS	ASL0			"Input value G"	SPC_DBADDR		2			"void *g"	
H	DBF_NOACCESS	ASL0			"Input value H"	SPC_DBADDR		2			"void *h"	
I	DBF_NOACCESS	ASL0			"Input value I"	SPC_DBADDR		2			"void *i"	
INAM	DBF_STRING			GUI_SUB	"Initialize Subr. Name"	SPC_NOMOD		1		41		
INPA	DBF_INLINK			GUI_INPUTS	"Input Link A"			1				
INPB	DBF_INLINK			GUI_INPUTS	"Input Link B"			1				
INPC	DBF_INLINK			GUI_INPUTS	"Input Link C"			1				
INPD	DBF_INLINK			GUI_INPUTS	"Input Link D"			1				
INPE	DBF_INLINK			GUI_INPUTS	"Input Link E"			1				
INPF	DBF_INLINK			GUI_INPUTS	"Input Link F"			1				
INPG	DBF_INLINK			GUI_INPUTS	"Input Link G"			1				
INPH	DBF_INLINK			GUI_INPUTS	"Input Link H"			1				
INPI	DBF_INLINK			GUI_INPUTS	"Input Link I"			1				
INPJ	DBF_INLINK			GUI_INPUTS	"Input Link J"			1				
INPK	DBF_INLINK			GUI_INPUTS	"Input Link K"			1				
INPL	DBF_INLINK			GUI_INPUTS	"Input Link L"			1				
INPM	DBF_INLINK			GUI_INPUTS	"Input Link M"			1				
INPN	DBF_INLINK			GUI_INPUTS	"Input Link N"			1				
INPO	DBF_INLINK			GUI_INPUTS	"Input Link O"			1				
INPP	DBF_INLINK			GUI_INPUTS	"Input Link P"			1				
INPQ	DBF_INLINK			GUI_INPUTS	"Input Link Q"			1				
INPR	DBF_INLINK			GUI_INPUTS	"Input Link R"			1				
INPS	DBF_INLINK			GUI_INPUTS	"Input Link S"			1				
INPT	DBF_INLINK			GUI_INPUTS	"Input Link T"			1				
INPU	DBF_INLINK			GUI_INPUTS	"Input Link U"			1				
J	DBF_NOACCESS	ASL0			"Input value J"	SPC_DBADDR		2			"void *j"	
K	DBF_NOACCESS	ASL0			"Input value K"	SPC_DBADDR		2			"void *k"	
L	DBF_NOACCESS	ASL0			"Input value L"	SPC_DBADDR		2			"void *l"	
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LFLG	DBF_MENU			GUI_SUB	"Subr. Input Enable"			1				aSubLFLG
LSET	DBF_NOACCESS				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
M	DBF_NOACCESS	ASL0			"Input value M"	SPC_DBADDR		2			"void *m"	
MLIS	DBF_NOACCESS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK	DBF_NOACCESS				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
N	DBF_NOACCESS	ASL0			"Input value N"	SPC_DBADDR		2			"void *n"	
NAME	DBF_STRING				"Record Name"	SPC_NOMOD				61		
NEA	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in A"	SPC_NOMOD		3				
NEB	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in B"	SPC_NOMOD		3				
NEC	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in C"	SPC_NOMOD		3				
NED	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in D"	SPC_NOMOD		3				
NEE	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in E"	SPC_NOMOD		3				
NEF	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in F"	SPC_NOMOD		3				
NEG	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in G"	SPC_NOMOD		3				
NEH	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in H"	SPC_NOMOD		3				
NEI	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in I"	SPC_NOMOD		3				
NEJ	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in J"	SPC_NOMOD		3				
NEK	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in K"	SPC_NOMOD		3				
NEL	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in L"	SPC_NOMOD		3				
NEM	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in M"	SPC_NOMOD		3				
NEN	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in N"	SPC_NOMOD		3				
NEO	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in O"	SPC_NOMOD		3				
NEP	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in P"	SPC_NOMOD		3				
NEQ	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in Q"	SPC_NOMOD		3				
NER	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in R"	SPC_NOMOD		3				
NES	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in S"	SPC_NOMOD		3				
NET	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in T"	SPC_NOMOD		3				
NEU	DBF_ULONG		"1"	GUI_WAVE	"Num. elements in U"	SPC_NOMOD		3				
