field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A	DBF_DOUBLE				"Value of Input A"		TRUE					
AA	DBF_NOACCESS	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *aa"	
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL	DBF_DOUBLE			GUI_DISPLAY	"Archive Deadband"			1				
ALST	DBF_DOUBLE				"Last Value Archived"	SPC_NOMOD		3				
AMASK	DBF_ULONG				"Array mod"	SPC_NOMOD		1				
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
AVAL	DBF_NOACCESS	ASL0			"Array Value"	SPC_DBADDR	TRUE				"double *aval"	
B	DBF_DOUBLE				"Value of Input B"		TRUE					
BB	DBF_NOACCESS	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *bb"	
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
C	DBF_DOUBLE				"Value of Input C"		TRUE					
CACT	DBF_UCHAR				"Calc active"	SPC_NOMOD		1				
CALC	DBF_STRING			GUI_CALC	"Calculation"	SPC_MOD	TRUE			80		
CC	DBF_NOACCESS	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *cc"	
CLCV	DBF_LONG				"CALC Valid"			1				
CSTAT	DBF_LONG				"Calc status"	SPC_NOMOD		1				
D	DBF_DOUBLE				"Value of Input D"		TRUE					
DD	DBF_NOACCESS	ASL0			"Value of array input"	SPC_DBADDR	TRUE				"double *dd"	
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
