field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL	DBF_DOUBLE			GUI_DISPLAY	"Archive Deadband"			1				
ALST	DBF_DOUBLE				"Last Value Archived"	SPC_NOMOD		3				
AOFF	DBF_DOUBLE			GUI_CONVERT	"Adjustment Offset"		TRUE	1				
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASLO	DBF_DOUBLE		"1"	GUI_CONVERT	"Adjustment Slope"		TRUE	1				
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
EGU	DBF_STRING			GUI_DISPLAY	"Engineering Units"			1		16		
EGUF	DBF_DOUBLE			GUI_CONVERT	"Engineer Units Full"	SPC_LINCONV	TRUE	1				
EGUL	DBF_DOUBLE			GUI_CONVERT	"Engineer Units Low"	SPC_LINCONV	TRUE	1				
EOFF	DBF_DOUBLE			GUI_CONVERT	"Raw to EGU Offset"		TRUE	2				
ESLO	DBF_DOUBLE		"1"	GUI_CONVERT	"Raw to EGU Slope"		TRUE	2				
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
HHSV	DBF_MENU			GUI_ALARMS	"Hihi Severity"		TRUE	1				menuAlarmSevr
HIGH	DBF_DOUBLE			GUI_ALARMS	"High Alarm Limit"		TRUE	1				
HIHI	DBF_DOUBLE			GUI_ALARMS	"Hihi Alarm Limit"		TRUE	1				
HOPR	DBF_DOUBLE			GUI_DISPLAY	"High Operating Range"			1				
HSV	DBF_MENU			GUI_ALARMS	"High Severity"		TRUE	1				menuAlarmSevr
HYST	DBF_DOUBLE			GUI_ALARMS	"Alarm Deadband"			1				
INIT	DBF_SHORT				"Initialized?"	SPC_NOMOD		3				
INP	DBF_INLINK			GUI_INPUTS	"Input Specification"			1				
LALM	DBF_DOUBLE				"Last Value Alarmed"	SPC_NOMOD		3				
LBRK	DBF_SHORT				"LastBreak Point"	SPC_NOMOD		3				
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LINR	DBF_MENU			GUI_CONVERT	"Linearization"	SPC_LINCONV	TRUE	1				menuConvert
LLSV	DBF_MENU			GUI_ALARMS	"Lolo Severity"		TRUE	1				menuAlarmSevr
LOLO	DBF_DOUBLE			GUI_ALARMS	"Lolo Alarm Limit"		TRUE	1				
LOPR	DBF_DOUBLE			GUI_DISPLAY	"Low Operating Range"			1				
LOW	DBF_DOUBLE			GUI_ALARMS	"Low Alarm Limit"		TRUE	1				
LSET	DBF_NOACCESS				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
LSV	DBF_MENU			GUI_ALARMS	"Low Severity"		TRUE	1				menuAlarmSevr
MDEL	DBF_DOUBLE			GUI_DISPLAY	"Monitor Deadband"			1				
MLIS	DBF_NOACCESS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK	DBF_NOACCESS				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
MLST	DBF_DOUBLE				"Last Val Monitored"	SPC_NOMOD		3				
NAME	DBF_STRING				"Record Name"	SPC_NOMOD				61		
NSEV	DBF_MENU				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA	DBF_MENU				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
ORAW	DBF_LONG				"Previous Raw Value"	SPC_NOMOD		3				
