field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ACMD	DBF_MENU			GUI_OUTPUT	"Addressed command"		TRUE	2				gpibACMD
ADDR	DBF_LONG		"0"	GUI_INPUTS	"asyn address"	SPC_MOD		1				
AINP	DBF_STRING				"Input (response) string"	SPC_NOMOD		1		40		
AOUT	DBF_STRING			GUI_OUTPUT	"Output (command) string"		TRUE	1		40		
AQR	DBF_UCHAR				"Abort queueRequest"	SPC_MOD		4				
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
AUCT	DBF_MENU			GUI_INPUTS	"Autoconnect"	SPC_MOD		1				asynAUTOCONNECT
BAUD	DBF_MENU			GUI_INPUTS	"Baud rate"	SPC_MOD		2				serialBAUD
BINP	DBF_CHAR	ASL0			"Input binary data"	SPC_DBADDR						
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BOUT	DBF_CHAR				"Output binary data"	SPC_DBADDR	TRUE	1				
CNCT	DBF_MENU			GUI_INPUTS	"Connect/Disconnect"	SPC_MOD		1				asynCONNECT
DBIT	DBF_MENU			GUI_INPUTS	"Data bits"	SPC_MOD		2				serialDBIT
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DRVINFO	DBF_STRING		""	GUI_INPUTS	"Driver info string"	SPC_MOD		2		40		
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
ENBL	DBF_MENU			GUI_INPUTS	"Enable/Disable"	SPC_MOD		1				asynENABLE
EOMR	DBF_MENU				"EOM reason"	SPC_NOMOD		1				asynEOMREASON
ERRS	DBF_NOACCESS				"Error string"	SPC_DBADDR		4			"char *errs"	
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
F64INP	DBF_DOUBLE				"asynFloat64 input"	SPC_NOMOD		2				
F64IV	DBF_LONG				"asynFloat64 is valid"			2				
F64OUT	DBF_DOUBLE			GUI_OUTPUT	"asynFloat64 output"		TRUE	2				
FCTL	DBF_MENU			GUI_INPUTS	"Flow control"	SPC_MOD		2				serialFCTL
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
GPIBIV	DBF_LONG				"asynGPIB is valid"			2				
I32INP	DBF_LONG				"asynInt32 input"	SPC_NOMOD		2				
I32IV	DBF_LONG				"asynInt32 is valid"			2				
I32OUT	DBF_LONG			GUI_OUTPUT	"asynInt32 output"		TRUE	2				
IEOS	DBF_STRING			GUI_INPUTS	"Input Delimiter"	SPC_MOD		1		40		
IFACE	DBF_MENU			GUI_INPUTS	"Interface"	SPC_MOD		2				asynINTERFACE
IFMT	DBF_MENU			GUI_INPUTS	"Input format"			1				asynFMT
IMAX	DBF_LONG		"80"	GUI_INPUTS	"Max. size of input array"	SPC_NOMOD		1				
IPTR	DBF_NOACCESS				"Input buffer pointer"	SPC_NOMOD		4		4	"void *iptr"	
IXANY	DBF_MENU			GUI_INPUTS	"XON=any character"	SPC_MOD		2				serialIX
IXOFF	DBF_MENU			GUI_INPUTS	"Input XON/XOFF"	SPC_MOD		2				serialIX
IXON	DBF_MENU			GUI_INPUTS	"Output XON/XOFF"	SPC_MOD		2				serialIX
LBAUD	DBF_LONG			GUI_INPUTS	"Baud rate"	SPC_MOD		2				
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LSET	DBF_NOACCESS				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
MCTL	DBF_MENU			GUI_INPUTS	"Modem control"	SPC_MOD		2				serialMCTL
