field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
NAME	DBF_STRING				"Record Name"	SPC_NOMOD				61		
NSEV	DBF_MENU				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA	DBF_MENU				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
PACT	DBF_UCHAR				"Record active"	SPC_NOMOD		1				
PHAS	DBF_SHORT			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PINI	DBF_MENU			GUI_SCAN	"Process at iocInit"			1				menuPini
PRIO	DBF_MENU			GUI_SCAN	"Scheduling Priority"	SPC_SCAN		1				menuPriority
PROC	DBF_UCHAR				"Force Processing"		TRUE	3				
PUTF	DBF_UCHAR				"dbPutField process"	SPC_NOMOD		1				
RPRO	DBF_UCHAR				"Reprocess "	SPC_NOMOD		1				
SCAN	DBF_MENU			GUI_SCAN	"Scan Mechanism"	SPC_SCAN		1				menuScan
SDIS	DBF_INLINK			GUI_SCAN	"Scanning Disable"			1				
SEVR	DBF_MENU		"INVALID"		"Alarm Severity"	SPC_NOMOD						menuAlarmSevr
TPRO	DBF_UCHAR				"Trace Processing"							
TSE	DBF_SHORT			GUI_SCAN	"Time Stamp Event"			1				
TSEL	DBF_INLINK			GUI_SCAN	"Time Stamp Link"			1				
UDF	DBF_UCHAR		"1"	GUI_COMMON	"Undefined"		TRUE	1				
