field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACCI	DBF_DOUBLE				"Acc Current"	SPC_NOMOD						
ACCW	DBF_DOUBLE				"Acc Power"	SPC_NOMOD						
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BAKR	DBF_MENU				"Bake Readback"	SPC_NOMOD						digitelBAKS
BAKS	DBF_MENU			GUI_BITS2	"Bake"	SPC_MOD	TRUE					digitelBAKS
BKIN	DBF_MENU				"Bake Installed"	SPC_NOMOD						digitelBKIN
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
CMOR	DBF_MENU				"Cooldown Mode"	SPC_NOMOD						digitelCMOR
COOL	DBF_DOUBLE				"Cooldown Time"	SPC_NOMOD						
CRNT	DBF_DOUBLE				"Current"	SPC_NOMOD						
CYCL	DBF_LONG				"Cycle count"	SPC_NOMOD						
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DSPL	DBF_MENU		"2"	GUI_ALARMS	"Display Mode"	SPC_MOD	TRUE					digitelDSPL
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
ERR	DBF_SHORT				"Error Count"	SPC_NOMOD						
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLGS	DBF_ULONG				"Mod Flags"	SPC_NOMOD						
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
HCTR	DBF_FLOAT		"0.5"	GUI_SUB	"Current Display Hi"			1				
HHSV	DBF_MENU			GUI_ALARMS	"Pressure Hihi Severity"		TRUE	1				menuAlarmSevr
HIGH	DBF_DOUBLE		"1e-07"	GUI_ALARMS	"Pressure High Alarm"		TRUE	1				
HIHI	DBF_DOUBLE		"1e-06"	GUI_ALARMS	"Pressure Hihi Alarm"		TRUE	1				
HLPR	DBF_FLOAT		"-4"	GUI_DISPLAY	"Log Pres Display Hi"			1				
HOPR	DBF_FLOAT		"0.0001"	GUI_SEQ2	"Pressure Display Hi"			1				
HSV	DBF_MENU			GUI_ALARMS	"Pressure High Severity"		TRUE	1				menuAlarmSevr
HVTR	DBF_FLOAT		"7000"	GUI_WAVE	"Voltage Display Hi"			1				
HYST	DBF_DOUBLE			GUI_ALARMS	"Alarm Deadband"			1				
IACI	DBF_DOUBLE				"init Acc current"	SPC_NOMOD						
IACW	DBF_DOUBLE				"init Acc power"	SPC_NOMOD						
IB3	DBF_MENU				"init sp3 bake time md"	SPC_NOMOD						digitelS3BS
IBAK	DBF_MENU				"init bake"	SPC_NOMOD						digitelBAKS
IBKN	DBF_MENU				"init Bake Installed"	SPC_NOMOD						digitelBKIN
ICOL	DBF_DOUBLE				"init cooldown time"	SPC_NOMOD						
ICRN	DBF_DOUBLE				"init current"	SPC_NOMOD						
IERR	DBF_SHORT				"init Error Count"	SPC_NOMOD						
IH1	DBF_DOUBLE				"init sp1 HY"	SPC_NOMOD						
IH2	DBF_DOUBLE				"init sp2 HY"	SPC_NOMOD						
IH3	DBF_DOUBLE				"init sp3 HY"	SPC_NOMOD						
II1	DBF_MENU				"init sp1 HVI"	SPC_NOMOD						digitelS1VS
II2	DBF_MENU				"init sp2 HVI"	SPC_NOMOD						digitelS1VS
II3	DBF_MENU				"init sp3 HVI"	SPC_NOMOD						digitelS1VS
ILVA	DBF_DOUBLE				"init pressure (log10)"	SPC_NOMOD						
IM1	DBF_MENU				"init sp1 mode"	SPC_NOMOD						digitelS1MS
IM2	DBF_MENU				"init sp2 mode"	SPC_NOMOD						digitelS1MS
IM3	DBF_MENU				"init sp3 mode"	SPC_NOMOD						digitelS1MS
