field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL	DBF_DOUBLE			GUI_DISPLAY	"Archive Deadband"			1				
ALST	DBF_DOUBLE				"Last Value Archived"	SPC_NOMOD		3				
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
CT	DBF_NOACCESS				"Time"	SPC_NOMOD		4			"epicsTimeStamp  ct"	
CTP	DBF_NOACCESS				"Previous time"	SPC_NOMOD		4			"epicsTimeStamp   ctp"	
CVAL	DBF_DOUBLE				"Controlled Value"	SPC_NOMOD						
CVLP	DBF_DOUBLE				"Prev. Controlled Value"	SPC_NOMOD						
D	DBF_DOUBLE				"D component"	SPC_NOMOD		2				
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DP	DBF_DOUBLE				"Prev. D component"	SPC_NOMOD		2				
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DRVH	DBF_DOUBLE			GUI_DISPLAY	"High Drive Limit"			1				
DRVL	DBF_DOUBLE			GUI_DISPLAY	"Low Drive Limit"			1				
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DT	DBF_DOUBLE				"Delta T"			2				
DTP	DBF_DOUBLE				"Prev. Delta T"			2				
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
EGU	DBF_STRING			GUI_DISPLAY	"Engineering Units"			1		16		
ERR	DBF_DOUBLE				"Error"	SPC_NOMOD		2				
ERRP	DBF_DOUBLE				"Prev. Error"	SPC_NOMOD		2				
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FBON	DBF_MENU			GUI_PID	"Feedback On/Off"			1				epidFeedbackState
FBOP	DBF_MENU			GUI_PID	"Prev. feedback On/Off"			1				epidFeedbackState
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
FMOD	DBF_MENU			GUI_PID	"Feedback Mode"			1				epidFeedbackMode
HHSV	DBF_MENU			GUI_ALARMS	"Hihi Severity"			1				menuAlarmSevr
HIGH	DBF_DOUBLE			GUI_ALARMS	"High Deviation Limit"			1				
HIHI	DBF_DOUBLE			GUI_ALARMS	"Hihi Deviation Limit"			1				
HOPR	DBF_DOUBLE			GUI_DISPLAY	"High Operating Range"			1				
HSV	DBF_MENU			GUI_ALARMS	"High Severity"			1				menuAlarmSevr
HYST	DBF_DOUBLE			GUI_ALARMS	"Alarm Deadband"			1				
I	DBF_DOUBLE				"I component"			2				
INP	DBF_INLINK			GUI_INPUTS	"Controlled Value Loc"			1				
IP	DBF_DOUBLE				"Prev. I component"			2				
KD	DBF_DOUBLE			GUI_PID	"Derivative Gain"			1				
KI	DBF_DOUBLE			GUI_PID	"Intergral Gain"			1				
KP	DBF_DOUBLE			GUI_PID	"Proportional Gain"			1				
LALM	DBF_DOUBLE				"Last Value Alarmed"	SPC_NOMOD		3				
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LLSV	DBF_MENU			GUI_ALARMS	"Lolo Severity"			1				menuAlarmSevr
LOLO	DBF_DOUBLE			GUI_ALARMS	"Lolo Deviation Limit"			1				
LOPR	DBF_DOUBLE			GUI_DISPLAY	"Low Operating Range"			1				
LOW	DBF_DOUBLE			GUI_ALARMS	"Low Deviation Limit"			1				
LSET	DBF_NOACCESS				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
LSV	DBF_MENU			GUI_ALARMS	"Low Severity"			1				menuAlarmSevr
MDEL	DBF_DOUBLE			GUI_DISPLAY	"Monitor Deadband"			1				
MDT	DBF_DOUBLE			GUI_PID	"Min Delta T"			1				
