field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A	DBF_NOACCESS	ASL0			"Value of Input A"	SPC_DBADDR		1			"void *a"	
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B	DBF_NOACCESS	ASL0			"Value of Input B"	SPC_DBADDR		1			"void *b"	
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BRSV	DBF_MENU			GUI_SUB	"Bad Return Severity"		TRUE	1				menuAlarmSevr
C	DBF_NOACCESS	ASL0			"Value of Input C"	SPC_DBADDR		1			"void *c"	
D	DBF_NOACCESS	ASL0			"Value of Input D"	SPC_DBADDR		1			"void *d"	
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
E	DBF_NOACCESS	ASL0			"Value of Input E"	SPC_DBADDR		1			"void *e"	
EFLG	DBF_MENU			GUI_OUTPUT	"Event Flag"			1				genSubEFLG
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
F	DBF_NOACCESS	ASL0			"Value of Input F"	SPC_DBADDR		1			"void *f"	
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
FTA	DBF_MENU			GUI_WAVE	"Type of A"	SPC_NOMOD		1				menuFtype
FTB	DBF_MENU			GUI_WAVE	"Type of B"	SPC_NOMOD		1				menuFtype
FTC	DBF_MENU			GUI_WAVE	"Type of C"	SPC_NOMOD		1				menuFtype
FTD	DBF_MENU			GUI_WAVE	"Type of D"	SPC_NOMOD		1				menuFtype
FTE	DBF_MENU			GUI_WAVE	"Type of E"	SPC_NOMOD		1				menuFtype
FTF	DBF_MENU			GUI_WAVE	"Type of F"	SPC_NOMOD		1				menuFtype
FTG	DBF_MENU			GUI_WAVE	"Type of G"	SPC_NOMOD		1				menuFtype
FTH	DBF_MENU			GUI_WAVE	"Type of H"	SPC_NOMOD		1				menuFtype
FTI	DBF_MENU			GUI_WAVE	"Type of I"	SPC_NOMOD		1				menuFtype
FTJ	DBF_MENU			GUI_WAVE	"Type of J"	SPC_NOMOD		1				menuFtype
FTK	DBF_MENU			GUI_WAVE	"Type of K"	SPC_NOMOD		1				menuFtype
FTL	DBF_MENU			GUI_WAVE	"Type of L"	SPC_NOMOD		1				menuFtype
FTM	DBF_MENU			GUI_WAVE	"Type of M"	SPC_NOMOD		1				menuFtype
FTN	DBF_MENU			GUI_WAVE	"Type of N"	SPC_NOMOD		1				menuFtype
FTO	DBF_MENU			GUI_WAVE	"Type of O"	SPC_NOMOD		1				menuFtype
FTP	DBF_MENU			GUI_WAVE	"Type of P"	SPC_NOMOD		1				menuFtype
FTQ	DBF_MENU			GUI_WAVE	"Type of Q"	SPC_NOMOD		1				menuFtype
FTR	DBF_MENU			GUI_WAVE	"Type of R"	SPC_NOMOD		1				menuFtype
FTS	DBF_MENU			GUI_WAVE	"Type of S"	SPC_NOMOD		1				menuFtype
FTT	DBF_MENU			GUI_WAVE	"Type of T"	SPC_NOMOD		1				menuFtype
FTU	DBF_MENU			GUI_WAVE	"Type of U"	SPC_NOMOD		1				menuFtype
FTVA	DBF_MENU			GUI_WAVE	"Type of VALA"	SPC_NOMOD		1				menuFtype
FTVB	DBF_MENU			GUI_WAVE	"Type of VALB"	SPC_NOMOD		1				menuFtype
FTVC	DBF_MENU			GUI_WAVE	"Type of VALC"	SPC_NOMOD		1				menuFtype
FTVD	DBF_MENU			GUI_WAVE	"Type of VALD"	SPC_NOMOD		1				menuFtype
FTVE	DBF_MENU			GUI_WAVE	"Type of VALE"	SPC_NOMOD		1				menuFtype
FTVF	DBF_MENU			GUI_WAVE	"Type of VALF"	SPC_NOMOD		1				menuFtype
FTVG	DBF_MENU			GUI_WAVE	"Type of VALG"	SPC_NOMOD		1				menuFtype
FTVH	DBF_MENU			GUI_WAVE	"Type of VALH"	SPC_NOMOD		1				menuFtype
FTVI	DBF_MENU			GUI_WAVE	"Type of VALI"	SPC_NOMOD		1				menuFtype
FTVJ	DBF_MENU			GUI_WAVE	"Type of VALJ"	SPC_NOMOD		1				menuFtype
FTVK	DBF_MENU			GUI_WAVE	"Type of VALK"	SPC_NOMOD		1				menuFtype
FTVL	DBF_MENU			GUI_WAVE	"Type of VALL"	SPC_NOMOD		1				menuFtype
FTVM	DBF_MENU			GUI_WAVE	"Type of VALM"	SPC_NOMOD		1				menuFtype
FTVN	DBF_MENU			GUI_WAVE	"Type of VALN"	SPC_NOMOD		1				menuFtype
FTVO	DBF_MENU			GUI_WAVE	"Type of VALO"	SPC_NOMOD		1				menuFtype
FTVP	DBF_MENU			GUI_WAVE	"Type of VALP"	SPC_NOMOD		1				menuFtype
FTVQ	DBF_MENU			GUI_WAVE	"Type of VALQ"	SPC_NOMOD		1				menuFtype
FTVR	DBF_MENU			GUI_WAVE	"Type of VALR"	SPC_NOMOD		1				menuFtype
FTVS	DBF_MENU			GUI_WAVE	"Type of VALS"	SPC_NOMOD		1				menuFtype
FTVT	DBF_MENU			GUI_WAVE	"Type of VALT"	SPC_NOMOD		1				menuFtype
FTVU	DBF_MENU			GUI_WAVE	"Type of VALU"	SPC_NOMOD		1				menuFtype
G	DBF_NOACCESS	ASL0			"Value of Input G"	SPC_DBADDR		1			"void *g"	
H	DBF_NOACCESS	ASL0			"Value of Input H"	SPC_DBADDR		1			"void *h"	
I	DBF_NOACCESS	ASL0			"Value of Input I"	SPC_DBADDR		1			"void *i"	
INAM	DBF_STRING			GUI_SUB	"Init Routine Name"	SPC_NOMOD		1		40		
INPA	DBF_INLINK			GUI_INPUTS	"Input Link A"	SPC_NOMOD		1				
INPB	DBF_INLINK			GUI_INPUTS	"Input Link B"	SPC_NOMOD		1				
INPC	DBF_INLINK			GUI_INPUTS	"Input Link C"	SPC_NOMOD		1				
INPD	DBF_INLINK			GUI_INPUTS	"Input Link D"	SPC_NOMOD		1				
INPE	DBF_INLINK			GUI_INPUTS	"Input Link E"	SPC_NOMOD		1				
INPF	DBF_INLINK			GUI_INPUTS	"Input Link F"	SPC_NOMOD		1				
INPG	DBF_INLINK			GUI_INPUTS	"Input Link G"	SPC_NOMOD		1				
INPH	DBF_INLINK			GUI_INPUTS	"Input Link H"	SPC_NOMOD		1				
INPI	DBF_INLINK			GUI_INPUTS	"Input Link I"	SPC_NOMOD		1				
INPJ	DBF_INLINK			GUI_INPUTS	"Input Link J"	SPC_NOMOD		1				
INPK	DBF_INLINK			GUI_INPUTS	"Input Link K"	SPC_NOMOD		1				
INPL	DBF_INLINK			GUI_INPUTS	"Input Link L"	SPC_NOMOD		1				
INPM	DBF_INLINK			GUI_INPUTS	"Input Link M"	SPC_NOMOD		1				
INPN	DBF_INLINK			GUI_INPUTS	"Input Link N"	SPC_NOMOD		1				
INPO	DBF_INLINK			GUI_INPUTS	"Input Link O"	SPC_NOMOD		1				
INPP	DBF_INLINK			GUI_INPUTS	"Input Link P"	SPC_NOMOD		1				
INPQ	DBF_INLINK			GUI_INPUTS	"Input Link Q"	SPC_NOMOD		1				
INPR	DBF_INLINK			GUI_INPUTS	"Input Link R"	SPC_NOMOD		1				
INPS	DBF_INLINK			GUI_INPUTS	"Input Link S"	SPC_NOMOD		1				
INPT	DBF_INLINK			GUI_INPUTS	"Input Link T"	SPC_NOMOD		1				
INPU	DBF_INLINK			GUI_INPUTS	"Input Link U"	SPC_NOMOD		1				
J	DBF_NOACCESS	ASL0			"Value of Input J"	SPC_DBADDR	TRUE	1			"void *j"	
K	DBF_NOACCESS	ASL0			"Value of Input K"	SPC_DBADDR		1			"void *k"	
L	DBF_NOACCESS	ASL0			"Value of Input L"	SPC_DBADDR		1			"void *l"	
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LFLG	DBF_MENU			GUI_OUTPUT	"Link Flag"			1				genSubLFLG
LSET	DBF_NOACCESS				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
M	DBF_NOACCESS	ASL0			"Value of Input M"	SPC_DBADDR		1			"void *m"	
MLIS	DBF_NOACCESS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK	DBF_NOACCESS				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
N	DBF_NOACCESS	ASL0			"Value of Input N"	SPC_DBADDR		1			"void *n"	
NAME	DBF_STRING				"Record Name"	SPC_NOMOD				61		
