field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BPTR	DBF_NOACCESS				"Buffer Pointer"	SPC_NOMOD		4			"epicsUInt32 *bptr"	
CMD	DBF_MENU	ASL0			"Collection Control"	SPC_CALC		1				histogramCMD
CSTA	DBF_SHORT		"1"		"Collection Status"	SPC_NOMOD		1				
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
HOPR	DBF_ULONG			GUI_DISPLAY	"High Operating Range"			1				
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LLIM	DBF_DOUBLE			GUI_HIST	"Lower Signal Limit "	SPC_RESET		1				
LOPR	DBF_ULONG			GUI_DISPLAY	"Low Operating Range"			1				
LSET	DBF_NOACCESS				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
MCNT	DBF_SHORT				"Counts Since Monitor"	SPC_NOMOD		3				
MDEL	DBF_SHORT			GUI_HIST	"Monitor Count Deadband"			1				
MLIS	DBF_NOACCESS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK	DBF_NOACCESS				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
NAME	DBF_STRING				"Record Name"	SPC_NOMOD				61		
NELM	DBF_USHORT		"1"	GUI_HIST	"Num of Array Elements"	SPC_NOMOD		1				
NSEV	DBF_MENU				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA	DBF_MENU				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
PACT	DBF_UCHAR				"Record active"	SPC_NOMOD		1				
PHAS	DBF_SHORT			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PINI	DBF_MENU			GUI_SCAN	"Process at iocInit"			1				menuPini
PPN	DBF_NOACCESS				"addr of PUTNOTIFY"	SPC_NOMOD		4			"struct putNotify *ppn"	
PPNR	DBF_NOACCESS				"pputNotifyRecord"	SPC_NOMOD		4			"struct putNotifyRecord *ppnr"	
PREC	DBF_SHORT			GUI_DISPLAY	"Display Precision"			1				
PRIO	DBF_MENU			GUI_SCAN	"Scheduling Priority"	SPC_SCAN		1				menuPriority
PROC	DBF_UCHAR				"Force Processing"		TRUE	3				
PUTF	DBF_UCHAR				"dbPutField process"	SPC_NOMOD		1				
RDES	DBF_NOACCESS				"Address of dbRecordType"	SPC_NOMOD		4			"struct dbRecordType *rdes"	
RPRO	DBF_UCHAR				"Reprocess "	SPC_NOMOD		1				
RSET	DBF_NOACCESS				"Address of RSET"	SPC_NOMOD		4			"struct rset      *rset"	
SCAN	DBF_MENU			GUI_SCAN	"Scan Mechanism"	SPC_SCAN		1				menuScan
SDEL	DBF_DOUBLE			GUI_HIST	"Monitor Seconds Dband"	SPC_RESET		1				
SDIS	DBF_INLINK			GUI_SCAN	"Scanning Disable"			1				
SEVR	DBF_MENU		"INVALID"		"Alarm Severity"	SPC_NOMOD						menuAlarmSevr
SGNL	DBF_DOUBLE				"Signal Value"	SPC_MOD						
SIML	DBF_INLINK			GUI_INPUTS	"Sim Mode Location"			1				
SIMM	DBF_MENU				"Simulation Mode"			1				menuYesNo
SIMS	DBF_MENU			GUI_INPUTS	"Sim mode Alarm Svrty"			2				menuAlarmSevr
SIOL	DBF_INLINK			GUI_INPUTS	"Sim Input Specifctn"			1				
SPVT	DBF_NOACCESS				"Scan Private"	SPC_NOMOD		4			"struct scan_element *spvt"	
STAT	DBF_MENU		"UDF"		"Alarm Status"	SPC_NOMOD						menuAlarmStat
SVAL	DBF_DOUBLE				"Simulation Value"							
SVL	DBF_INLINK			GUI_INPUTS	"Signal Value Location"			1				
TIME	DBF_NOACCESS				"Time"	SPC_NOMOD		2			"epicsTimeStamp   time"	
TPRO	DBF_UCHAR				"Trace Processing"							
TSE	DBF_SHORT			GUI_SCAN	"Time Stamp Event"			1				
TSEL	DBF_INLINK			GUI_SCAN	"Time Stamp Link"			1				
UDF	DBF_UCHAR		"1"	GUI_COMMON	"Undefined"		TRUE	1				
ULIM	DBF_DOUBLE			GUI_HIST	"Upper Signal Limit"	SPC_RESET		1				
VAL	DBF_NOACCESS	ASL0			"Value"	SPC_DBADDR					"void *   val"	
WDOG	DBF_NOACCESS				"Watchdog callback"	SPC_NOMOD		4			"void *  wdog"	
WDTH	DBF_DOUBLE				"Element Width"	SPC_NOMOD		3				
