field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B0	DBF_UCHAR				"Bit 0"		TRUE	1				
B1	DBF_UCHAR				"Bit 1"		TRUE	1				
B2	DBF_UCHAR				"Bit 2"		TRUE	1				
B3	DBF_UCHAR				"Bit 3"		TRUE	1				
B4	DBF_UCHAR				"Bit 4"		TRUE	1				
B5	DBF_UCHAR				"Bit 5"		TRUE	1				
B6	DBF_UCHAR				"Bit 6"		TRUE	1				
B7	DBF_UCHAR				"Bit 7"		TRUE	1				
B8	DBF_UCHAR				"Bit 8"		TRUE	1				
B9	DBF_UCHAR				"Bit 9"		TRUE	1				
BA	DBF_UCHAR				"Bit A"		TRUE	1				
BB	DBF_UCHAR				"Bit B"		TRUE	1				
BC	DBF_UCHAR				"Bit C"		TRUE	1				
BD	DBF_UCHAR				"Bit D"		TRUE	1				
BE	DBF_UCHAR				"Bit E"		TRUE	1				
BF	DBF_UCHAR				"Bit F"		TRUE	1				
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
INP	DBF_INLINK			GUI_MBB	"Input Specification"			1				
LALM	DBF_USHORT				"Last Value Alarmed"	SPC_NOMOD		3				
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LSET	DBF_NOACCESS				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
MASK	DBF_ULONG				"Hardware Mask"	SPC_NOMOD		1				
MLIS	DBF_NOACCESS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK	DBF_NOACCESS				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
MLST	DBF_USHORT				"Last Value Monitored"	SPC_NOMOD		3				
NAME	DBF_STRING				"Record Name"	SPC_NOMOD				61		
NOBT	DBF_SHORT			GUI_MBB	"Number of Bits"	SPC_NOMOD		1				
NSEV	DBF_MENU				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA	DBF_MENU				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
ORAW	DBF_ULONG				"Prev Raw Value"	SPC_NOMOD		3				
PACT	DBF_UCHAR				"Record active"	SPC_NOMOD		1				
PHAS	DBF_SHORT			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PINI	DBF_MENU			GUI_SCAN	"Process at iocInit"			1				menuPini
PPN	DBF_NOACCESS				"addr of PUTNOTIFY"	SPC_NOMOD		4			"struct putNotify *ppn"	
PPNR	DBF_NOACCESS				"pputNotifyRecord"	SPC_NOMOD		4			"struct putNotifyRecord *ppnr"	
PRIO	DBF_MENU			GUI_SCAN	"Scheduling Priority"	SPC_SCAN		1				menuPriority
PROC	DBF_UCHAR				"Force Processing"		TRUE	3				
PUTF	DBF_UCHAR				"dbPutField process"	SPC_NOMOD		1				
RDES	DBF_NOACCESS				"Address of dbRecordType"	SPC_NOMOD		4			"struct dbRecordType *rdes"	
RPRO	DBF_UCHAR				"Reprocess "	SPC_NOMOD		1				
RSET	DBF_NOACCESS				"Address of RSET"	SPC_NOMOD		4			"struct rset      *rset"	
RVAL	DBF_ULONG				"Raw Value"		TRUE					
SCAN	DBF_MENU			GUI_SCAN	"Scan Mechanism"	SPC_SCAN		1				menuScan
