field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
COSV	DBF_MENU			GUI_MBB	"Change of State Sevr"		TRUE	1				menuAlarmSevr
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DOL	DBF_INLINK			GUI_MBB	"Desired Output Loc"			1				
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
EIST	DBF_STRING			GUI_BITS2	"Eight String"	SPC_MOD	TRUE	1		26		
EISV	DBF_MENU			GUI_BITS2	"State Eight Severity"		TRUE	1				menuAlarmSevr
EIVL	DBF_ULONG			GUI_BITS2	"Eight Value"	SPC_MOD	TRUE	1	HEX			
ELST	DBF_STRING			GUI_BITS2	"Eleven String"	SPC_MOD	TRUE	1		26		
ELSV	DBF_MENU			GUI_BITS2	"State Eleven Severity"		TRUE	1				menuAlarmSevr
ELVL	DBF_ULONG			GUI_BITS2	"Eleven Value"	SPC_MOD	TRUE	1	HEX			
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FFST	DBF_STRING			GUI_BITS2	"Fifteen String"	SPC_MOD	TRUE	1		26		
FFSV	DBF_MENU			GUI_BITS2	"State Fifteen Sevr"		TRUE	1				menuAlarmSevr
FFVL	DBF_ULONG			GUI_BITS2	"Fifteen Value"	SPC_MOD	TRUE	1	HEX			
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
FRST	DBF_STRING			GUI_BITS1	"Four String"	SPC_MOD	TRUE	1		26		
FRSV	DBF_MENU			GUI_BITS1	"State Four Severity"		TRUE	1				menuAlarmSevr
FRVL	DBF_ULONG			GUI_BITS1	"Four Value"	SPC_MOD	TRUE	1	HEX			
FTST	DBF_STRING			GUI_BITS2	"Fourteen String"	SPC_MOD	TRUE	1		26		
FTSV	DBF_MENU			GUI_BITS2	"State Fourteen Sevr"		TRUE	1				menuAlarmSevr
FTVL	DBF_ULONG			GUI_BITS2	"Fourteen Value"	SPC_MOD	TRUE	1	HEX			
FVST	DBF_STRING			GUI_BITS1	"Five String"	SPC_MOD	TRUE	1		26		
FVSV	DBF_MENU			GUI_BITS1	"State Five Severity"		TRUE	1				menuAlarmSevr
FVVL	DBF_ULONG			GUI_BITS1	"Five Value"	SPC_MOD	TRUE	1	HEX			
IVOA	DBF_MENU			GUI_MBB	"INVALID outpt action"			2				menuIvoa
IVOV	DBF_USHORT			GUI_MBB	"INVALID output value"			2				
LALM	DBF_USHORT				"Last Value Alarmed"	SPC_NOMOD		3				
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LSET	DBF_NOACCESS				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
MASK	DBF_ULONG				"Hardware Mask"	SPC_NOMOD		1				
MLIS	DBF_NOACCESS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK	DBF_NOACCESS				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
MLST	DBF_USHORT				"Last Value Monitored"	SPC_NOMOD		3				
NAME	DBF_STRING				"Record Name"	SPC_NOMOD				61		
NIST	DBF_STRING			GUI_BITS2	"Nine String"	SPC_MOD	TRUE	1		26		
NISV	DBF_MENU			GUI_BITS2	"State Nine Severity"		TRUE	1				menuAlarmSevr
NIVL	DBF_ULONG			GUI_BITS2	"Nine Value"	SPC_MOD	TRUE	1	HEX			
NOBT	DBF_SHORT			GUI_MBB	"Number of Bits"	SPC_NOMOD		1				
