field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B0	DBF_UCHAR			GUI_BITS1	"Bit 0"	SPC_MOD	TRUE	1				
B1	DBF_UCHAR			GUI_BITS1	"Bit 1"	SPC_MOD	TRUE	1				
B2	DBF_UCHAR			GUI_BITS1	"Bit 2"	SPC_MOD	TRUE	1				
B3	DBF_UCHAR			GUI_BITS1	"Bit 3"	SPC_MOD	TRUE	1				
B4	DBF_UCHAR			GUI_BITS1	"Bit 4"	SPC_MOD	TRUE	1				
B5	DBF_UCHAR			GUI_BITS1	"Bit 5"	SPC_MOD	TRUE	1				
B6	DBF_UCHAR			GUI_BITS1	"Bit 6"	SPC_MOD	TRUE	1				
B7	DBF_UCHAR			GUI_BITS1	"Bit 7"	SPC_MOD	TRUE	1				
B8	DBF_UCHAR			GUI_BITS2	"Bit 8"	SPC_MOD	TRUE	1				
B9	DBF_UCHAR			GUI_BITS2	"Bit 9"	SPC_MOD	TRUE	1				
BA	DBF_UCHAR			GUI_BITS2	"Bit 10"	SPC_MOD	TRUE	1				
BB	DBF_UCHAR			GUI_BITS2	"Bit 11"	SPC_MOD	TRUE	1				
BC	DBF_UCHAR			GUI_BITS2	"Bit 12"	SPC_MOD	TRUE	1				
BD	DBF_UCHAR			GUI_BITS2	"Bit 13"	SPC_MOD	TRUE	1				
BE	DBF_UCHAR			GUI_BITS2	"Bit 14"	SPC_MOD	TRUE	1				
BF	DBF_UCHAR			GUI_BITS2	"Bit 15"	SPC_MOD	TRUE	1				
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DOL	DBF_INLINK			GUI_MBB	"Desired Output Loc"			1				
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
IVOA	DBF_MENU			GUI_MBB	"INVALID outpt action"			2				menuIvoa
IVOV	DBF_USHORT			GUI_MBB	"INVALID output value"			2				
LALM	DBF_ULONG				"Last Value Alarmed"	SPC_NOMOD		3				
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LSET	DBF_NOACCESS				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
MASK	DBF_ULONG				"Hardware Mask"	SPC_NOMOD		1				
MLIS	DBF_NOACCESS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK	DBF_NOACCESS				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
MLST	DBF_ULONG				"Last Value Monitored"	SPC_NOMOD		3				
NAME	DBF_STRING				"Record Name"	SPC_NOMOD				61		
NOBT	DBF_SHORT			GUI_MBB	"Number of Bits"	SPC_NOMOD		1				
NSEV	DBF_MENU				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA	DBF_MENU				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
OMSL	DBF_MENU			GUI_MBB	"Output Mode Select"	SPC_RESET	TRUE	1				menuOmsl
ORAW	DBF_ULONG				"Prev Raw Value"	SPC_NOMOD		3				
ORBV	DBF_ULONG				"Prev Readback Value"	SPC_NOMOD		3				
OUT	DBF_OUTLINK			GUI_MBB	"Output Specification"			1				
PACT	DBF_UCHAR				"Record active"	SPC_NOMOD		1				
PHAS	DBF_SHORT			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
