field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ACQG	DBF_MENU				"Acquiring"	SPC_NOMOD		1				mcaSTRT
ACT	DBF_LONG				"Actual counts in pregio"	SPC_NOMOD		1				
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BG	DBF_NOACCESS				"Background"	SPC_DBADDR	TRUE			4	"void *bg"	
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BPTR	DBF_NOACCESS				"Buffer Pointer"	SPC_NOMOD		4		4	"void *bptr"	
CALO	DBF_DOUBLE			GUI_COMMON	"Calibration offset"			1				
CALQ	DBF_DOUBLE			GUI_COMMON	"Calibration quadratic"			1				
CALS	DBF_DOUBLE		"1"	GUI_COMMON	"Calibration slope"			1				
CHAS	DBF_MENU			GUI_COMMON	"Channel-advance source"	SPC_MOD	TRUE	1				mcaCHAS
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTIM	DBF_DOUBLE				"Average % dead time"	SPC_NOMOD		1				
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
DWEL	DBF_DOUBLE		"1.0"	GUI_COMMON	"Dwell time per channel"	SPC_MOD	TRUE	1				
EGU	DBF_STRING			GUI_DISPLAY	"Calibration Units Name"			1		16		
ELTM	DBF_DOUBLE				"Elapsed live time"			1				
ERAS	DBF_MENU			GUI_COMMON	"Erase array"	SPC_MOD	TRUE	1				mcaERAS
ERST	DBF_MENU			GUI_COMMON	"Erase & Start Acquire"	SPC_MOD	TRUE	1				mcaSTRT
ERTM	DBF_DOUBLE				"Elapsed real time"			1				
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
FTVL	DBF_MENU		"5"	GUI_COMMON	"Field Type of Value"	SPC_NOMOD		1				menuFtype
HHSV	DBF_MENU			GUI_ALARMS	"Hihi Severity"			1				menuAlarmSevr
HIGH	DBF_DOUBLE			GUI_ALARMS	"High Deviation Limit"			1				
HIHI	DBF_DOUBLE			GUI_ALARMS	"Hihi Deviation Limit"			1				
HOPR	DBF_DOUBLE			GUI_DISPLAY	"High Operating Range"			1				
HSV	DBF_MENU			GUI_ALARMS	"High Severity"			1				menuAlarmSevr
HYST	DBF_DOUBLE			GUI_ALARMS	"Alarm Deadband"			1				
IDTIM	DBF_DOUBLE				"Instantaneous % dead time"	SPC_NOMOD		1				
INP	DBF_INLINK			GUI_INPUTS	"Input Specification"	SPC_NOMOD		1				
LALM	DBF_DOUBLE				"Last Value Alarmed"	SPC_NOMOD		3				
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LLSV	DBF_MENU			GUI_ALARMS	"Lolo Severity"			1				menuAlarmSevr
LOLO	DBF_DOUBLE			GUI_ALARMS	"Lolo Deviation Limit"			1				
LOPR	DBF_DOUBLE			GUI_DISPLAY	"Low Operating Range"			1				
LOW	DBF_DOUBLE			GUI_ALARMS	"Low Deviation Limit"			1				
LSET	DBF_NOACCESS				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
LSV	DBF_MENU			GUI_ALARMS	"Low Severity"			1				menuAlarmSevr
MLIS	DBF_NOACCESS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK	DBF_NOACCESS				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
MMAP	DBF_ULONG				"Monitor map"	SPC_NOMOD		4				
MODE	DBF_MENU			GUI_COMMON	"Mode PHA/MCS/LIST"	SPC_MOD	TRUE					mcaMODE
