field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACCL	DBF_DOUBLE		"0.2"	GUI_COMMON	"Seconds to Velocity"	SPC_MOD		1				
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL	DBF_DOUBLE			GUI_COMMON	"Archive Deadband"			1				
ALST	DBF_DOUBLE				"Last Value Archived"	SPC_NOMOD		3				
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
ATHM	DBF_SHORT				"At HOME"	SPC_NOMOD						
BACC	DBF_DOUBLE		"0.5"	GUI_COMMON	"BL Seconds to Velocity"	SPC_MOD		1				
BDST	DBF_DOUBLE	ASL0		GUI_COMMON	"BL Distance (EGU)"	SPC_MOD		1				
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BVEL	DBF_DOUBLE			GUI_COMMON	"BL Velocity (EGU/s)"	SPC_MOD		1				
CARD	DBF_SHORT				"Card Number"	SPC_NOMOD		3				
CBAK	DBF_NOACCESS				"Callback structure"	SPC_NOMOD		4		4	"void             *cbak"	
CDIR	DBF_SHORT				"Raw cmnd direction"	SPC_NOMOD						
CNEN	DBF_MENU	ASL0		GUI_COMMON	"Enable control"	SPC_MOD	TRUE					motorTORQ
DCOF	DBF_DOUBLE		"0"	GUI_COMMON	"Derivative Gain"	SPC_MOD		1				
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DHLM	DBF_DOUBLE			GUI_COMMON	"Dial High Limit"	SPC_MOD	TRUE					
DIFF	DBF_DOUBLE				"Difference dval-drbv"	SPC_NOMOD						
DINP	DBF_INLINK			GUI_COMMON	"DMOV Input Link"	SPC_MOD		1				
DIR	DBF_MENU			GUI_COMMON	"User Direction"	SPC_MOD	TRUE	1				motorDIR
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DLLM	DBF_DOUBLE			GUI_COMMON	"Dial Low Limit"	SPC_MOD	TRUE					
DLY	DBF_DOUBLE			GUI_COMMON	"Readback settle time (s)"	SPC_MOD		1				
DMOV	DBF_SHORT		"1"	GUI_COMMON	"Done moving to value"	SPC_NOMOD						
DOL	DBF_INLINK			GUI_COMMON	"Desired Output Loc"	SPC_MOD		1				
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DRBV	DBF_DOUBLE				"Dial Readback Value"	SPC_NOMOD						
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
DVAL	DBF_DOUBLE	ASL0			"Dial Desired Value (EGU"	SPC_MOD	TRUE					
EGU	DBF_STRING			GUI_COMMON	"Engineering Units"			1		16		
ERES	DBF_DOUBLE			GUI_COMMON	"Encoder Step Size (EGU)"	SPC_MOD	TRUE	1				
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
FOF	DBF_SHORT	ASL0			"Freeze Offset"	SPC_MOD		1				
FOFF	DBF_MENU	ASL0		GUI_COMMON	"Offset-Freeze Switch"	SPC_MOD		1				motorFOFF
FRAC	DBF_FLOAT		"1"	GUI_COMMON	"Move Fraction"	SPC_MOD		1				
HHSV	DBF_MENU			GUI_COMMON	"Hihi Severity"		TRUE	2				menuAlarmSevr
HIGH	DBF_DOUBLE			GUI_COMMON	"High Alarm Limit (EGU)"		TRUE	2				
HIHI	DBF_DOUBLE			GUI_COMMON	"Hihi Alarm Limit (EGU)"		TRUE	2				
HLM	DBF_DOUBLE				"User High Limit"	SPC_MOD	TRUE					
HLS	DBF_SHORT				"User High Limit Switch"	SPC_NOMOD						
HLSV	DBF_MENU			GUI_COMMON	"HW Limit Violation Svr"		TRUE	2				menuAlarmSevr
HOMF	DBF_SHORT				"Home Forward"	SPC_MOD	TRUE	1				
HOMR	DBF_SHORT				"Home Reverse"	SPC_MOD	TRUE	1				
HOPR	DBF_DOUBLE			GUI_COMMON	"High Operating Range"			1				
HSV	DBF_MENU			GUI_COMMON	"High Severity"		TRUE	2				menuAlarmSevr
HVEL	DBF_DOUBLE			GUI_COMMON	"Home Velocity (EGU/s)"	SPC_MOD		1				
ICOF	DBF_DOUBLE		"0"	GUI_COMMON	"Integral Gain"	SPC_MOD		1				
INIT	DBF_STRING			GUI_COMMON	"Startup commands"			1		40		
JAR	DBF_DOUBLE			GUI_COMMON	"Jog Accel. (EGU/s^2)"	SPC_MOD		1				
JOGF	DBF_SHORT	ASL0			"Jog motor Forward"	SPC_MOD	TRUE	1				
JOGR	DBF_SHORT	ASL0			"Jog motor Reverse"	SPC_MOD	TRUE	1				
JVEL	DBF_DOUBLE			GUI_COMMON	"Jog Velocity (EGU/s)"	SPC_MOD		1				
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LDVL	DBF_DOUBLE				"Last Dial Des Val (EGU)"	SPC_NOMOD		1				
LLM	DBF_DOUBLE				"User Low Limit"	SPC_MOD	TRUE					
LLS	DBF_SHORT				"User Low Limit Switch"	SPC_NOMOD						
LLSV	DBF_MENU			GUI_COMMON	"Lolo Severity"		TRUE	2				menuAlarmSevr
