field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A	DBF_DOUBLE			GUI_COMMON	"Value of Input A"		TRUE					
AA	DBF_STRING			GUI_COMMON	"Value of string input AA"		TRUE	4		40		
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ADEL	DBF_DOUBLE			GUI_DISPLAY	"Archive Deadband"			1				
ALST	DBF_DOUBLE				"Last Value Archived"	SPC_NOMOD		3				
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B	DBF_DOUBLE			GUI_COMMON	"Value of Input B"		TRUE					
BB	DBF_STRING			GUI_COMMON	"Value of string input BB"		TRUE	4		40		
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
C	DBF_DOUBLE			GUI_COMMON	"Value of Input C"		TRUE					
CALC	DBF_STRING			GUI_CALC	"Calculation"	SPC_MOD	TRUE			80		
CC	DBF_STRING			GUI_COMMON	"Value of string input CC"		TRUE	4		40		
CLCV	DBF_LONG				"CALC Valid"			1				
D	DBF_DOUBLE			GUI_COMMON	"Value of Input D"		TRUE					
DD	DBF_STRING			GUI_COMMON	"Value of string input DD"		TRUE	4		40		
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DLYA	DBF_USHORT	ASL0			"Output Delay Active"	SPC_NOMOD						
DOPT	DBF_MENU			GUI_CALC	"Output Data Opt"			1				scalcoutDOPT
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
E	DBF_DOUBLE			GUI_COMMON	"Value of Input E"		TRUE					
EE	DBF_STRING			GUI_COMMON	"Value of string input EE"		TRUE	4		40		
EGU	DBF_STRING			GUI_DISPLAY	"Units Name"			1		16		
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
F	DBF_DOUBLE			GUI_COMMON	"Value of Input F"		TRUE					
FF	DBF_STRING			GUI_COMMON	"Value of string input FF"		TRUE	4		40		
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
G	DBF_DOUBLE			GUI_COMMON	"Value of Input G"		TRUE					
GG	DBF_STRING			GUI_COMMON	"Value of string input GG"		TRUE	4		40		
H	DBF_DOUBLE			GUI_COMMON	"Value of Input H"		TRUE					
HH	DBF_STRING			GUI_COMMON	"Value of string input HH"		TRUE	4		40		
HHSV	DBF_MENU			GUI_ALARMS	"Hihi Severity"		TRUE	1				menuAlarmSevr
HIGH	DBF_DOUBLE			GUI_ALARMS	"High Alarm Limit"		TRUE	1				
HIHI	DBF_DOUBLE			GUI_ALARMS	"Hihi Alarm Limit"		TRUE	1				
HOPR	DBF_DOUBLE			GUI_DISPLAY	"High Operating Rng"			1				
HSV	DBF_MENU			GUI_ALARMS	"High Severity"		TRUE	1				menuAlarmSevr
HYST	DBF_DOUBLE			GUI_ALARMS	"Alarm Deadband"			1				
I	DBF_DOUBLE			GUI_COMMON	"Value of Input I"		TRUE					
IAAV	DBF_MENU		"1"		"INAA PV Status"	SPC_NOMOD		1				scalcoutINAV
IBBV	DBF_MENU		"1"		"INBB PV Status"	SPC_NOMOD		1				scalcoutINAV
ICCV	DBF_MENU		"1"		"INCC PV Status"	SPC_NOMOD		1				scalcoutINAV
IDDV	DBF_MENU		"1"		"INDD PV Status"	SPC_NOMOD		1				scalcoutINAV
IEEV	DBF_MENU		"1"		"INEE PV Status"	SPC_NOMOD		1				scalcoutINAV
IFFV	DBF_MENU		"1"		"INFF PV Status"	SPC_NOMOD		1				scalcoutINAV
IGGV	DBF_MENU		"1"		"INGG PV Status"	SPC_NOMOD		1				scalcoutINAV
IHHV	DBF_MENU		"1"		"INHH PV Status"	SPC_NOMOD		1				scalcoutINAV
II	DBF_STRING			GUI_COMMON	"Value of string input II"		TRUE	4		40		
IIIV	DBF_MENU		"1"		"INII PV Status"	SPC_NOMOD		1				scalcoutINAV
IJJV	DBF_MENU		"1"		"INJJ PV Status"	SPC_NOMOD		1				scalcoutINAV
IKKV	DBF_MENU		"1"		"INKK PV Status"	SPC_NOMOD		1				scalcoutINAV
ILLV	DBF_MENU		"1"		"INLL PV Status"	SPC_NOMOD		1				scalcoutINAV
INAA	DBF_INLINK			GUI_CALC	"String input AA"	SPC_MOD		1				
INAV	DBF_MENU		"1"		"INPA PV Status"	SPC_NOMOD		1				scalcoutINAV
INBB	DBF_INLINK			GUI_CALC	"String input BB"	SPC_MOD		1				
INBV	DBF_MENU		"1"		"INPB PV Status"	SPC_NOMOD		1				scalcoutINAV
INCC	DBF_INLINK			GUI_CALC	"String input CC"	SPC_MOD		1				
INCV	DBF_MENU		"1"		"INPC PV Status"	SPC_NOMOD		1				scalcoutINAV
INDD	DBF_INLINK			GUI_CALC	"String input DD"	SPC_MOD		1				
INDV	DBF_MENU		"1"		"INPD PV Status"	SPC_NOMOD		1				scalcoutINAV
INEE	DBF_INLINK			GUI_CALC	"String input EE"	SPC_MOD		1				
INEV	DBF_MENU		"1"		"INPE PV Status"	SPC_NOMOD		1				scalcoutINAV
INFF	DBF_INLINK			GUI_CALC	"String input FF"	SPC_MOD		1				
INFV	DBF_MENU		"1"		"INPF PV Status"	SPC_NOMOD		1				scalcoutINAV
INGG	DBF_INLINK			GUI_CALC	"String input GG"	SPC_MOD		1				
INGV	DBF_MENU		"1"		"INPG PV Status"	SPC_NOMOD		1				scalcoutINAV
INHH	DBF_INLINK			GUI_CALC	"String input HH"	SPC_MOD		1				
INHV	DBF_MENU		"1"		"INPH PV Status"	SPC_NOMOD		1				scalcoutINAV
INII	DBF_INLINK			GUI_CALC	"String input II"	SPC_MOD		1				
INIV	DBF_MENU		"1"		"INPI PV Status"	SPC_NOMOD		1				scalcoutINAV
INJJ	DBF_INLINK			GUI_CALC	"String input JJ"	SPC_MOD		1				
INJV	DBF_MENU		"1"		"INPJ PV Status"	SPC_NOMOD		1				scalcoutINAV
INKK	DBF_INLINK			GUI_CALC	"String input KK"	SPC_MOD		1				
INKV	DBF_MENU		"1"		"INPK PV Status"	SPC_NOMOD		1				scalcoutINAV
INLL	DBF_INLINK			GUI_CALC	"String input LL"	SPC_MOD		1				
INLV	DBF_MENU		"1"		"INPL PV Status"	SPC_NOMOD		1				scalcoutINAV
INPA	DBF_INLINK			GUI_CALC	"Input A"	SPC_MOD		1				
INPB	DBF_INLINK			GUI_CALC	"Input B"	SPC_MOD		1				
INPC	DBF_INLINK			GUI_CALC	"Input C"	SPC_MOD		1				
INPD	DBF_INLINK			GUI_CALC	"Input D"	SPC_MOD		1				
INPE	DBF_INLINK			GUI_CALC	"Input E"	SPC_MOD		1				
INPF	DBF_INLINK			GUI_CALC	"Input F"	SPC_MOD		1				
INPG	DBF_INLINK			GUI_CALC	"Input G"	SPC_MOD		1				
INPH	DBF_INLINK			GUI_CALC	"Input H"	SPC_MOD		1				
INPI	DBF_INLINK			GUI_CALC	"Input I"	SPC_MOD		1				
INPJ	DBF_INLINK			GUI_CALC	"Input J"	SPC_MOD		1				
INPK	DBF_INLINK			GUI_CALC	"Input K"	SPC_MOD		1				
INPL	DBF_INLINK			GUI_CALC	"Input L"	SPC_MOD		1				
IVOA	DBF_MENU			GUI_OUTPUT	"INVALID output action"			2				menuIvoa
IVOV	DBF_DOUBLE			GUI_OUTPUT	"INVALID output value"			2				
J	DBF_DOUBLE			GUI_COMMON	"Value of Input J"		TRUE					
JJ	DBF_STRING			GUI_COMMON	"Value of string input JJ"		TRUE	4		40		
K	DBF_DOUBLE			GUI_COMMON	"Value of Input K"		TRUE					
KK	DBF_STRING			GUI_COMMON	"Value of string input KK"		TRUE	4		40		
L	DBF_DOUBLE			GUI_COMMON	"Value of Input L"		TRUE					
LALM	DBF_DOUBLE				"Last Value Alarmed"	SPC_NOMOD		3				
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LL	DBF_STRING			GUI_COMMON	"Value of string input LL"		TRUE	4		40		
LLSV	DBF_MENU			GUI_ALARMS	"Lolo Severity"		TRUE	1				menuAlarmSevr
LOLO	DBF_DOUBLE			GUI_ALARMS	"Lolo Alarm Limit"		TRUE	1				
LOPR	DBF_DOUBLE			GUI_DISPLAY	"Low Operating Range"			1				
LOW	DBF_DOUBLE			GUI_ALARMS	"Low Alarm Limit"		TRUE	1				
LSET	DBF_NOACCESS				"Lock Set"	SPC_NOMOD		4			"struct lockRecord *lset"	
LSV	DBF_MENU			GUI_ALARMS	"Low Severity"		TRUE	1				menuAlarmSevr
MDEL	DBF_DOUBLE			GUI_DISPLAY	"Monitor Deadband"			1				
MLIS	DBF_NOACCESS				"Monitor List"	SPC_NOMOD		4			"ELLLIST          mlis"	
MLOK	DBF_NOACCESS				"Monitor lock"	SPC_NOMOD		4			"epicsMutexId     mlok"	
MLST	DBF_DOUBLE				"Last Val Monitored"	SPC_NOMOD		3				
NAME	DBF_STRING				"Record Name"	SPC_NOMOD				61		
NSEV	DBF_MENU				"New Alarm Severity"	SPC_NOMOD		2				menuAlarmSevr
NSTA	DBF_MENU				"New Alarm Status"	SPC_NOMOD		2				menuAlarmStat
OCAL	DBF_STRING			GUI_CALC	"Output Calculation"	SPC_MOD	TRUE			80		
OCLV	DBF_LONG				"OCAL Valid"			1				
ODLY	DBF_DOUBLE	ASL0		GUI_ALARMS	"Output Execute Delay"			1				
OEVT	DBF_USHORT	ASL0		GUI_CLOCK	"Event To Issue"							
OOPT	DBF_MENU			GUI_CALC	"Output Execute Opt"			1				scalcoutOOPT
ORPC	DBF_NOACCESS				"Postfix OCalc"	SPC_NOMOD		4			"unsigned char orpc[282]"	
OSV	DBF_STRING	ASL0			"Output string value"					40		
OUT	DBF_OUTLINK			GUI_OUTPUT	"Output Link"	SPC_MOD		1				
OUTV	DBF_MENU				"OUT PV Status"	SPC_NOMOD		1				scalcoutINAV
OVAL	DBF_DOUBLE	ASL0			"Output Value"							
PA	DBF_DOUBLE				"Prev Value of A"	SPC_NOMOD		3				
PAA	DBF_NOACCESS				"Prev Value of AA"	SPC_DBADDR		4		4	"char *paa"	
PACT	DBF_UCHAR				"Record active"	SPC_NOMOD		1				
PB	DBF_DOUBLE				"Prev Value of B"	SPC_NOMOD		3				
PBB	DBF_NOACCESS				"Prev Value of BB"	SPC_DBADDR		4		4	"char *pbb"	
PC	DBF_DOUBLE				"Prev Value of C"	SPC_NOMOD		3				
PCC	DBF_NOACCESS				"Prev Value of CC"	SPC_DBADDR		4		4	"char *pcc"	
PD	DBF_DOUBLE				"Prev Value of D"	SPC_NOMOD		3				
PDD	DBF_NOACCESS				"Prev Value of DD"	SPC_DBADDR		4		4	"char *pdd"	
PE	DBF_DOUBLE				"Prev Value of E"	SPC_NOMOD		3				
PEE	DBF_NOACCESS				"Prev Value of EE"	SPC_DBADDR		4		4	"char *pee"	
PF	DBF_DOUBLE				"Prev Value of F"	SPC_NOMOD		3				
PFF	DBF_NOACCESS				"Prev Value of FF"	SPC_DBADDR		4		4	"char *pff"	
PG	DBF_DOUBLE				"Prev Value of G"	SPC_NOMOD		3				
PGG	DBF_NOACCESS				"Prev Value of GG"	SPC_DBADDR		4		4	"char *pgg"	
PH	DBF_DOUBLE				"Prev Value of H"	SPC_NOMOD		3				
PHAS	DBF_SHORT			GUI_SCAN	"Scan Phase"	SPC_SCAN		1				
PHH	DBF_NOACCESS				"Prev Value of HH"	SPC_DBADDR		4		4	"char *phh"	
PI	DBF_DOUBLE				"Prev Value of I"	SPC_NOMOD		3				
PII	DBF_NOACCESS				"Prev Value of II"	SPC_DBADDR		4		4	"char *pii"	
PINI	DBF_MENU			GUI_SCAN	"Process at iocInit"			1				menuPini
PJ	DBF_DOUBLE				"Prev Value of J"	SPC_NOMOD		3				
PJJ	DBF_NOACCESS				"Prev Value of JJ"	SPC_DBADDR		4		4	"char *pjj"	
PK	DBF_DOUBLE				"Prev Value of K"	SPC_NOMOD		3				
PKK	DBF_NOACCESS				"Prev Value of KK"	SPC_DBADDR		4		4	"char *pkk"	
PL	DBF_DOUBLE				"Prev Value of L"	SPC_NOMOD		3				
PLL	DBF_NOACCESS				"Prev Value of LL"	SPC_DBADDR		4		4	"char *pll"	
POSV	DBF_STRING				"Previous output string value"	SPC_NOMOD				40		
POVL	DBF_DOUBLE	ASL0			"Prev Value of OVAL"							
PPN	DBF_NOACCESS				"addr of PUTNOTIFY"	SPC_NOMOD		4			"struct putNotify *ppn"	
PPNR	DBF_NOACCESS				"pputNotifyRecord"	SPC_NOMOD		4			"struct putNotifyRecord *ppnr"	
