field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
CNT	DBF_MENU				"Count"	SPC_MOD	TRUE	1				scalerCNT
CONT	DBF_MENU				"OneShot/AutoCount"	SPC_MOD	TRUE	1				scalerCONT
COUT	DBF_OUTLINK			GUI_COMMON	"CNT Output"	SPC_MOD		1				
COUTP	DBF_OUTLINK			GUI_COMMON	"CNT Output Prompt"	SPC_MOD		1				
D1	DBF_MENU		"1"	GUI_COMMON	"Count Direction 1"			1				scalerD1
D10	DBF_MENU			GUI_COMMON	"Count Direction 10"			1				scalerD1
D11	DBF_MENU			GUI_COMMON	"Count Direction 11"			1				scalerD1
D12	DBF_MENU			GUI_COMMON	"Count Direction 12"			1				scalerD1
D13	DBF_MENU			GUI_COMMON	"Count Direction 13"			1				scalerD1
D14	DBF_MENU			GUI_COMMON	"Count Direction 14"			1				scalerD1
D15	DBF_MENU			GUI_COMMON	"Count Direction 15"			1				scalerD1
D16	DBF_MENU			GUI_COMMON	"Count Direction 16"			1				scalerD1
D17	DBF_MENU			GUI_COMMON	"Count Direction 17"			1				scalerD1
D18	DBF_MENU			GUI_COMMON	"Count Direction 18"			1				scalerD1
D19	DBF_MENU			GUI_COMMON	"Count Direction 19"			1				scalerD1
D2	DBF_MENU			GUI_COMMON	"Count Direction 2"			1				scalerD1
D20	DBF_MENU			GUI_COMMON	"Count Direction 20"			1				scalerD1
D21	DBF_MENU			GUI_COMMON	"Count Direction 21"			1				scalerD1
D22	DBF_MENU			GUI_COMMON	"Count Direction 22"			1				scalerD1
D23	DBF_MENU			GUI_COMMON	"Count Direction 23"			1				scalerD1
D24	DBF_MENU			GUI_COMMON	"Count Direction 24"			1				scalerD1
D25	DBF_MENU			GUI_COMMON	"Count Direction 25"			1				scalerD1
D26	DBF_MENU			GUI_COMMON	"Count Direction 26"			1				scalerD1
D27	DBF_MENU			GUI_COMMON	"Count Direction 27"			1				scalerD1
D28	DBF_MENU			GUI_COMMON	"Count Direction 28"			1				scalerD1
D29	DBF_MENU			GUI_COMMON	"Count Direction 29"			1				scalerD1
D3	DBF_MENU			GUI_COMMON	"Count Direction 3"			1				scalerD1
D30	DBF_MENU			GUI_COMMON	"Count Direction 30"			1				scalerD1
D31	DBF_MENU			GUI_COMMON	"Count Direction 31"			1				scalerD1
D32	DBF_MENU			GUI_COMMON	"Count Direction 32"			1				scalerD1
D33	DBF_MENU			GUI_COMMON	"Count Direction 33"			1				scalerD1
D34	DBF_MENU			GUI_COMMON	"Count Direction 34"			1				scalerD1
D35	DBF_MENU			GUI_COMMON	"Count Direction 35"			1				scalerD1
D36	DBF_MENU			GUI_COMMON	"Count Direction 36"			1				scalerD1
D37	DBF_MENU			GUI_COMMON	"Count Direction 37"			1				scalerD1
D38	DBF_MENU			GUI_COMMON	"Count Direction 38"			1				scalerD1
D39	DBF_MENU			GUI_COMMON	"Count Direction 39"			1				scalerD1
D4	DBF_MENU			GUI_COMMON	"Count Direction 4"			1				scalerD1
D40	DBF_MENU			GUI_COMMON	"Count Direction 40"			1				scalerD1
D41	DBF_MENU			GUI_COMMON	"Count Direction 41"			1				scalerD1
D42	DBF_MENU			GUI_COMMON	"Count Direction 42"			1				scalerD1
D43	DBF_MENU			GUI_COMMON	"Count Direction 43"			1				scalerD1
D44	DBF_MENU			GUI_COMMON	"Count Direction 44"			1				scalerD1
D45	DBF_MENU			GUI_COMMON	"Count Direction 45"			1				scalerD1
D46	DBF_MENU			GUI_COMMON	"Count Direction 46"			1				scalerD1
D47	DBF_MENU			GUI_COMMON	"Count Direction 47"			1				scalerD1
D48	DBF_MENU			GUI_COMMON	"Count Direction 48"			1				scalerD1
D49	DBF_MENU			GUI_COMMON	"Count Direction 49"			1				scalerD1
D5	DBF_MENU			GUI_COMMON	"Count Direction 5"			1				scalerD1
D50	DBF_MENU			GUI_COMMON	"Count Direction 50"			1				scalerD1
