field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A1CD	DBF_FLOAT	ASL0	1.0	GUI_INPUTS	"A1 Cmnd"	SPC_MOD		1				
A1NV	DBF_MENU				"A1  PV Status"	SPC_NOMOD		1				sscanP1NV
A1PV	DBF_STRING	ASL0		GUI_CALC	"Array-read trigger 1 PV Name"	SPC_MOD		1		40		
AAWAIT	DBF_MENU			GUI_INPUTS	"AutoWait for data-storage client"							sscanNOYES
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ACQM	DBF_MENU	ASL0	"NORMAL"	GUI_COMMON	"Acquisition mode"	SPC_MOD		1				sscanACQM
ACQT	DBF_MENU	ASL0	"SCALAR"	GUI_COMMON	"Acquisition type"	SPC_MOD		1				sscanACQT
ALRT	DBF_UCHAR				"Operator Alert"	SPC_NOMOD						
ASCD	DBF_FLOAT	ASL0	1.0	GUI_INPUTS	"After Scan Cmnd"	SPC_MOD		1				
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASNV	DBF_MENU				"After Scan PV Status"	SPC_NOMOD		1				sscanP1NV
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
ASPV	DBF_STRING	ASL0		GUI_CALC	"After Scan   PV Name"	SPC_MOD		1		40		
ASWAIT	DBF_MENU	ASL0	"Wait"	GUI_INPUTS	"Wait for completion?"			1				sscanLINKWAIT
ATIME	DBF_FLOAT	ASL0		GUI_INPUTS	"Array post time period"	SPC_MOD		1				
AWAIT	DBF_SHORT				"Waiting for data-storage client"	SPC_MOD						
AWCT	DBF_SHORT				"Auto WCNT"	SPC_MOD						
BCPT	DBF_LONG				"Bufferred Current Point"	SPC_NOMOD		1				
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BSCD	DBF_FLOAT	ASL0	1.0	GUI_INPUTS	"Before Scan Cmnd"	SPC_MOD		1				
BSNV	DBF_MENU				"BeforeScan PV Status"	SPC_NOMOD		1				sscanP1NV
BSPV	DBF_STRING	ASL0		GUI_CALC	"Before Scan  PV Name"	SPC_MOD		1		40		
BSWAIT	DBF_MENU	ASL0	"Wait"	GUI_INPUTS	"Wait for completion?"			1				sscanLINKWAIT
BUSY	DBF_UCHAR				"Scan in progress"	SPC_NOMOD						
CMND	DBF_MENU	ASL0			"Command Field"	SPC_MOD		1				sscanCMND
COPYTO	DBF_LONG			GUI_COMMON	"Copy Last Pt Thru"			1				
CPT	DBF_LONG				"Current Point"	SPC_NOMOD		1				
D01CA	DBF_NOACCESS	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d01ca"	
D01CV	DBF_FLOAT	ASL0			"Current Value"	SPC_NOMOD		1				
D01DA	DBF_NOACCESS	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d01da"	
D01EU	DBF_STRING	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D01HR	DBF_DOUBLE	ASL0		GUI_CONVERT	"High Oper Range"			1				
D01LR	DBF_DOUBLE	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D01LV	DBF_FLOAT	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D01NE	DBF_ULONG	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D01NV	DBF_MENU				"PV Status"	SPC_NOMOD		1				sscanP1NV
D01PR	DBF_SHORT	ASL0		GUI_HIST	"Display Precision"			1				
D01PV	DBF_STRING	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D02CA	DBF_NOACCESS	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d02ca"	
D02CV	DBF_FLOAT	ASL0			"Current Value"	SPC_NOMOD		1				
D02DA	DBF_NOACCESS	ASL0			"Data Array"	SPC_DBADDR				4	"float *          d02da"	
D02EU	DBF_STRING	ASL0		GUI_COMPRESS	"Engineering Units"			1		16		
D02HR	DBF_DOUBLE	ASL0		GUI_CONVERT	"High Oper Range"			1				
D02LR	DBF_DOUBLE	ASL0		GUI_CONVERT	"Low  Oper Range"			1				
D02LV	DBF_FLOAT	ASL0			"Last Value Posted"	SPC_NOMOD		1				
D02NE	DBF_ULONG	ASL0			"# of Elements/Pt"	SPC_NOMOD		1				
D02NV	DBF_MENU				"PV Status"	SPC_NOMOD		1				sscanP1NV
D02PR	DBF_SHORT	ASL0		GUI_HIST	"Display Precision"			1				
D02PV	DBF_STRING	ASL0		GUI_CALC	"Detector PV Name"	SPC_MOD		1		40		
D03CA	DBF_NOACCESS	ASL0			"Current Data Array"	SPC_DBADDR				4	"float *          d03ca"	
D03CV	DBF_FLOAT	ASL0			"Current Value"	SPC_NOMOD		1				
