field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ABORT	DBF_SHORT				"Abort sequence"	SPC_MOD		1				
ABORTING	DBF_SHORT				"Aborting"	SPC_MOD		1				
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
BUSY	DBF_SHORT				"Sequence active"	SPC_NOMOD		1				
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DLY1	DBF_DOUBLE			GUI_SEQ1	"Delay 1"	SPC_MOD		1				
DLY2	DBF_DOUBLE			GUI_SEQ1	"Delay 2"	SPC_MOD		1				
DLY3	DBF_DOUBLE			GUI_SEQ1	"Delay 3"	SPC_MOD		1				
DLY4	DBF_DOUBLE			GUI_SEQ2	"Delay 4"	SPC_MOD		1				
DLY5	DBF_DOUBLE			GUI_SEQ2	"Delay 5"	SPC_MOD		1				
DLY6	DBF_DOUBLE			GUI_SEQ2	"Delay 6"	SPC_MOD		1				
DLY7	DBF_DOUBLE			GUI_SEQ3	"Delay 7"	SPC_MOD		1				
DLY8	DBF_DOUBLE			GUI_SEQ3	"Delay 8"	SPC_MOD		1				
DLY9	DBF_DOUBLE			GUI_SEQ3	"Delay 9"	SPC_MOD		1				
DLYA	DBF_DOUBLE			GUI_SEQ3	"Delay 10"	SPC_MOD		1				
DO1	DBF_DOUBLE			GUI_SEQ1	"Constant input 1"	SPC_MOD		1				
DO2	DBF_DOUBLE			GUI_SEQ1	"Constant input 2"	SPC_MOD		1				
DO3	DBF_DOUBLE			GUI_SEQ1	"Constant input 3"	SPC_MOD		1				
DO4	DBF_DOUBLE			GUI_SEQ1	"Constant input 4"	SPC_MOD		1				
DO5	DBF_DOUBLE			GUI_SEQ1	"Constant input 5"	SPC_MOD		1				
DO6	DBF_DOUBLE			GUI_SEQ1	"Constant input 6"	SPC_MOD		1				
DO7	DBF_DOUBLE			GUI_SEQ1	"Constant input 7"	SPC_MOD		1				
DO8	DBF_DOUBLE			GUI_SEQ1	"Constant input 8"	SPC_MOD		1				
DO9	DBF_DOUBLE			GUI_SEQ1	"Constant input 9"	SPC_MOD		1				
DOA	DBF_DOUBLE			GUI_SEQ1	"Constant input 10"	SPC_MOD		1				
DOL1	DBF_INLINK			GUI_SEQ1	"Input link1"	SPC_MOD		1				
DOL1V	DBF_MENU		"1"		"DOL LINK Status"	SPC_NOMOD		1				sseqLNKV
DOL2	DBF_INLINK			GUI_SEQ1	"Input link 2"	SPC_MOD		1				
DOL2V	DBF_MENU		"1"		"DOL LINK Status"	SPC_NOMOD		1				sseqLNKV
DOL3	DBF_INLINK			GUI_SEQ1	"Input link 3"	SPC_MOD		1				
DOL3V	DBF_MENU		"1"		"DOL LINK Status"	SPC_NOMOD		1				sseqLNKV
DOL4	DBF_INLINK			GUI_SEQ2	"Input link 4"	SPC_MOD		1				
DOL4V	DBF_MENU		"1"		"DOL LINK Status"	SPC_NOMOD		1				sseqLNKV
DOL5	DBF_INLINK			GUI_SEQ2	"Input link 5"	SPC_MOD		1				
DOL5V	DBF_MENU		"1"		"DOL LINK Status"	SPC_NOMOD		1				sseqLNKV
DOL6	DBF_INLINK			GUI_SEQ2	"Input link 6"	SPC_MOD		1				
DOL6V	DBF_MENU		"1"		"DOL LINK Status"	SPC_NOMOD		1				sseqLNKV
DOL7	DBF_INLINK			GUI_SEQ3	"Input link 7"	SPC_MOD		1				
DOL7V	DBF_MENU		"1"		"DOL LINK Status"	SPC_NOMOD		1				sseqLNKV
DOL8	DBF_INLINK			GUI_SEQ3	"Input link 8"	SPC_MOD		1				
DOL8V	DBF_MENU		"1"		"DOL LINK Status"	SPC_NOMOD		1				sseqLNKV
DOL9	DBF_INLINK			GUI_SEQ3	"Input link 9"	SPC_MOD		1				
DOL9V	DBF_MENU		"1"		"DOL LINK Status"	SPC_NOMOD		1				sseqLNKV
DOLA	DBF_INLINK			GUI_SEQ3	"Input link 10"	SPC_MOD		1				
DOLAV	DBF_MENU		"1"		"DOL LINK Status"	SPC_NOMOD		1				sseqLNKV
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DT1	DBF_SHORT				"DOL link type"	SPC_NOMOD		4				
DT2	DBF_SHORT				"DOL link type"	SPC_NOMOD		4				
DT3	DBF_SHORT				"DOL link type"	SPC_NOMOD		4				
DT4	DBF_SHORT				"DOL link type"	SPC_NOMOD		4				
DT5	DBF_SHORT				"DOL link type"	SPC_NOMOD		4				
DT6	DBF_SHORT				"DOL link type"	SPC_NOMOD		4				
DT7	DBF_SHORT				"DOL link type"	SPC_NOMOD		4				
DT8	DBF_SHORT				"DOL link type"	SPC_NOMOD		4				
DT9	DBF_SHORT				"DOL link type"	SPC_NOMOD		4				
DTA	DBF_SHORT				"DOL link type"	SPC_NOMOD		4				
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
IX1	DBF_SHORT		0			SPC_NOMOD		2				
IX2	DBF_SHORT		1			SPC_NOMOD		2				
IX3	DBF_SHORT		2			SPC_NOMOD		2				
IX4	DBF_SHORT		3			SPC_NOMOD		2				
IX5	DBF_SHORT		4			SPC_NOMOD		2				
IX6	DBF_SHORT		5			SPC_NOMOD		2				
IX7	DBF_SHORT		6			SPC_NOMOD		2				
IX8	DBF_SHORT		7			SPC_NOMOD		2				
IX9	DBF_SHORT		8			SPC_NOMOD		2				
IXA	DBF_SHORT		9					2				
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LNK1	DBF_OUTLINK			GUI_SEQ1	"Output Link 1"	SPC_MOD		1				
LNK1V	DBF_MENU		"1"		"LNK LINK Status"	SPC_NOMOD		1				sseqLNKV
LNK2	DBF_OUTLINK			GUI_SEQ1	"Output Link 2"	SPC_MOD		1				
LNK2V	DBF_MENU		"1"		"LNK LINK Status"	SPC_NOMOD		1				sseqLNKV
LNK3	DBF_OUTLINK			GUI_SEQ1	"Output Link 3"	SPC_MOD		1				
LNK3V	DBF_MENU		"1"		"LNK LINK Status"	SPC_NOMOD		1				sseqLNKV
LNK4	DBF_OUTLINK			GUI_SEQ2	"Output Link 4"	SPC_MOD		1				
LNK4V	DBF_MENU		"1"		"LNK LINK Status"	SPC_NOMOD		1				sseqLNKV
LNK5	DBF_OUTLINK			GUI_SEQ2	"Output Link 5"	SPC_MOD		1				
