field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A	DBF_NOACCESS				"x to m matrix"	SPC_DBADDR		1		4	"double **        a"	
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
AEGU	DBF_STRING			GUI_COMMON	"Angular Units Name"			1		16		
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
AX	DBF_DOUBLE				"x angle"	SPC_MOD	TRUE					
AX0	DBF_DOUBLE				"x-angle offset"							
AXL	DBF_DOUBLE				"x angle true value"	SPC_NOMOD						
AXRB	DBF_DOUBLE				"x angle readback"	SPC_NOMOD						
AY	DBF_DOUBLE				"y angle"	SPC_MOD	TRUE					
AY0	DBF_DOUBLE				"y-angle offset"							
AYL	DBF_DOUBLE				"y angle true value"	SPC_NOMOD						
AYRB	DBF_DOUBLE				"y angle readback"	SPC_NOMOD						
AZ	DBF_DOUBLE				"z angle"	SPC_MOD	TRUE					
AZ0	DBF_DOUBLE				"z-angle offset"							
AZL	DBF_DOUBLE				"z angle true value"	SPC_NOMOD						
AZRB	DBF_DOUBLE				"z angle readback"	SPC_NOMOD						
B	DBF_NOACCESS				"m to x matrix"	SPC_DBADDR		1		4	"double **        b"	
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
E0X	DBF_DOUBLE				"encoder 0X val"	SPC_NOMOD						
E0XI	DBF_INLINK			GUI_COMMON	"encoder 0X inlink"	SPC_NOMOD		1				
E0Y	DBF_DOUBLE				"encoder 0Y val"	SPC_NOMOD						
E0YI	DBF_INLINK			GUI_COMMON	"encoder 0Y inlink"	SPC_NOMOD		1				
E1Y	DBF_DOUBLE				"encoder 1Y val"	SPC_NOMOD						
E1YI	DBF_INLINK			GUI_COMMON	"encoder 1Y inlink"	SPC_NOMOD		1				
E2X	DBF_DOUBLE				"encoder 2X val"	SPC_NOMOD						
E2XI	DBF_INLINK			GUI_COMMON	"encoder 2X inlink"	SPC_NOMOD		1				
