field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
A	DBF_DOUBLE			GUI_COMMON	"Value of A"	SPC_MOD	TRUE					
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
B	DBF_DOUBLE			GUI_COMMON	"Value of B"	SPC_MOD	TRUE					
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
C	DBF_DOUBLE			GUI_COMMON	"Value of C"	SPC_MOD	TRUE					
CAV	DBF_LONG				"CALC Invalid"			1				
CBV	DBF_LONG				"CALC Invalid"			1				
CCV	DBF_LONG				"CALC Invalid"			1				
CDV	DBF_LONG				"CALC Invalid"			1				
CEV	DBF_LONG				"CALC Invalid"			1				
CFV	DBF_LONG				"CALC Invalid"			1				
CGV	DBF_LONG				"CALC Invalid"			1				
CHV	DBF_LONG				"CALC Invalid"			1				
CIV	DBF_LONG				"CALC Invalid"			1				
CJV	DBF_LONG				"CALC Invalid"			1				
CKV	DBF_LONG				"CALC Invalid"			1				
CLCA	DBF_STRING			GUI_COMMON	"Calculation A"	SPC_MOD				120		
CLCB	DBF_STRING			GUI_COMMON	"Calculation B"	SPC_MOD				120		
CLCC	DBF_STRING			GUI_COMMON	"Calculation C"	SPC_MOD				120		
CLCD	DBF_STRING			GUI_COMMON	"Calculation D"	SPC_MOD				120		
CLCE	DBF_STRING			GUI_COMMON	"Calculation E"	SPC_MOD				120		
CLCF	DBF_STRING			GUI_COMMON	"Calculation F"	SPC_MOD				120		
CLCG	DBF_STRING			GUI_COMMON	"Calculation G"	SPC_MOD				120		
CLCH	DBF_STRING			GUI_COMMON	"Calculation H"	SPC_MOD				120		
CLCI	DBF_STRING			GUI_COMMON	"Calculation I"	SPC_MOD				120		
CLCJ	DBF_STRING			GUI_COMMON	"Calculation J"	SPC_MOD				120		
CLCK	DBF_STRING			GUI_COMMON	"Calculation K"	SPC_MOD				120		
CLCL	DBF_STRING			GUI_COMMON	"Calculation L"	SPC_MOD				120		
CLCM	DBF_STRING			GUI_COMMON	"Calculation M"	SPC_MOD				120		
CLCN	DBF_STRING			GUI_COMMON	"Calculation N"	SPC_MOD				120		
CLCO	DBF_STRING			GUI_COMMON	"Calculation O"	SPC_MOD				120		
CLCP	DBF_STRING			GUI_COMMON	"Calculation P"	SPC_MOD				120		
CLV	DBF_LONG				"CALC Invalid"			1				
CMTA	DBF_STRING			GUI_COMMON	"Comment A"					39		
CMTB	DBF_STRING			GUI_COMMON	"Comment B"					39		
CMTC	DBF_STRING			GUI_COMMON	"Comment C"					39		
