field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
ACKS	DBF_MENU				"Alarm Ack Severity"	SPC_NOMOD		2				menuAlarmSevr
ACKT	DBF_MENU		"YES"	GUI_ALARMS	"Alarm Ack Transient"	SPC_NOMOD		2				menuYesNo
ASG	DBF_STRING			GUI_COMMON	"Access Security Group"	SPC_AS				29		
ASP	DBF_NOACCESS				"Access Security Pvt"	SPC_NOMOD		4			"struct asgMember *asp"	
BKPT	DBF_NOACCESS				"Break Point"	SPC_NOMOD		1			"char bkpt"	
CGAP	DBF_DOUBLE				"Convectron-A Pressure"	SPC_NOMOD						
CGBP	DBF_DOUBLE				"Convectron-B Pressure"	SPC_NOMOD						
CHGC	DBF_USHORT				"Changed Control"	SPC_NOMOD						
DESC	DBF_STRING			GUI_COMMON	"Descriptor"					41		
DGSR	DBF_MENU				"Degas Read"	SPC_NOMOD						vsOFFON
DGSS	DBF_MENU			GUI_BITS1	"Degas Set"	SPC_MOD	TRUE	1				vsOFFON
DISA	DBF_SHORT				"Disable"							
DISP	DBF_UCHAR				"Disable putField"							
DISS	DBF_MENU			GUI_SCAN	"Disable Alarm Sevrty"			1				menuAlarmSevr
DISV	DBF_SHORT		"1"	GUI_SCAN	"Disable Value"							
DPVT	DBF_NOACCESS				"Device Private"	SPC_NOMOD		4			"void             *dpvt"	
DSET	DBF_NOACCESS				"DSET address"	SPC_NOMOD		4			"struct dset      *dset"	
DTYP	DBF_DEVICE			GUI_LINKS	"Device Type"			1				
ERR	DBF_SHORT		"5"		"Controller Err Cnt"	SPC_MOD		1				
EVNT	DBF_SHORT			GUI_SCAN	"Event Number"	SPC_SCAN		1				
FLNK	DBF_FWDLINK			GUI_LINKS	"Forward Process Link"			1				
FLTR	DBF_MENU				"Fault Read"	SPC_NOMOD						vsOFFON
HALR	DBF_FLOAT		"3"	GUI_PULSE	"CGA Log10 High Display"			1				
HAPR	DBF_FLOAT		"1000"	GUI_OUTPUT	"CGA Pres High Display"			1				
HBLR	DBF_FLOAT		"3"	GUI_SUB	"CGB Log10 High Display"			1				
HBPR	DBF_FLOAT		"1000"	GUI_SEQ2	"CGB Pres High Display"			1				
HHSV	DBF_MENU			GUI_DISPLAY	"IG Hihi Severity"		TRUE	1				menuAlarmSevr
HIGH	DBF_FLOAT		"1e-07"	GUI_DISPLAY	"IG High Alarm"		TRUE	1				
HIHI	DBF_FLOAT		"1e-06"	GUI_DISPLAY	"IG Hihi Alarm"		TRUE	1				
HLPR	DBF_FLOAT		"-4"	GUI_LINKS	"IG Log10 High Display"			1				
HOPR	DBF_FLOAT		"0.0001"	GUI_HIST	"IG Pres High Display"			1				
HSV	DBF_MENU			GUI_DISPLAY	"IG High Severity"		TRUE	1				menuAlarmSevr
HYST	DBF_DOUBLE			GUI_DISPLAY	"IG Alarm Deadband"			1				
IG1R	DBF_MENU				"Ion Gauge 1 Read"	SPC_NOMOD						vsOFFON
IG1S	DBF_MENU			GUI_ALARMS	"Ion Gauge 1 Set"	SPC_MOD	TRUE	1				vsOFFON
IG2R	DBF_MENU				"Ion Gauge 2 Read"	SPC_NOMOD						vsOFFON
IG2S	DBF_MENU			GUI_ALARMS	"Ion Gauge 2 Set"	SPC_MOD	TRUE	1				vsOFFON
INP	DBF_INLINK			GUI_COMMON	"Device Specification"	SPC_NOMOD		1				
LALM	DBF_DOUBLE				"IG Last Value Alarmed"	SPC_NOMOD		3				
LALR	DBF_FLOAT		"-4"	GUI_SELECT	"CGA Log10 Low Display"			1				
LAPR	DBF_FLOAT		"0.0001"	GUI_PID	"CGA Pres Low Display"			1				
LBLR	DBF_FLOAT		"-4"	GUI_TIMER	"CGB Log10 Low Display"			1				
LBPR	DBF_FLOAT		"0.0001"	GUI_SEQ3	"CGB Pres Low Display"			1				
LCAP	DBF_DOUBLE				"Conv-A Log10 Pressure"	SPC_NOMOD						
LCBP	DBF_DOUBLE				"Conv-B Log10 Pressure"	SPC_NOMOD						
LCNT	DBF_UCHAR				"Lock Count"	SPC_NOMOD		2				
LLPR	DBF_FLOAT		"-12"	GUI_MBB	"IG Log10 Low Display"			1				
LLSV	DBF_MENU			GUI_DISPLAY	"IG Lolo Severity"		TRUE	1				menuAlarmSevr
LOLO	DBF_FLOAT		"1e-12"	GUI_DISPLAY	"IG Lolo Alarm"		TRUE	1				
